_id,kcore
9200,2
6400,2
18500,1
81100,1
283300,1
204100,2
172600,1
381600,2
416700,1
358300,1
172900,1
88400,1
439200,1
390700,2
81800,1
222600,9
208700,1
283600,2
241200,1
450100,1
477800,1
52400,1
307400,1
472200,1
365700,1
360900,1
477100,1
19800,1
402600,2
223400,1
154200,2
318200,9
92100,1
250100,2
356800,4
57800,1
415800,2
407900,1
269000,1
218700,1
383200,1
488900,1
161300,1
51700,8
445500,1
340600,1
229700,1
443500,1
256200,6
456800,1
176500,15
350400,1
456500,1
1500,2
67200,1
435400,2
206600,1
391800,2
464500,14
278400,1
199000,1
410600,3
320300,1
452600,1
168200,1
91500,1
360800,10
96600,1
63100,1
146400,2
97700,2
278500,13
152700,2
205700,1
209900,1
471200,4
57300,6
205400,8
76200,2
340500,2
326500,1
330200,1
324900,1
455700,1
111200,2
293600,1
483000,1
201400,1
46800,2
104600,2
328500,1
26900,1
346100,1
457300,2
296800,2
329100,1
394600,1
36200,1
484200,65
403600,5
95900,1
102900,1
33600,2
379200,1
282500,1
399500,1
327700,1
478700,1
280700,1
335800,2
132800,1
311100,2
238300,16
417900,1
433800,1
112300,3
72200,1
383300,1
259600,5
403400,3
1800,1
40100,1
126600,1
286000,1
29600,2
69900,1
173800,1
184300,2
29000,1
214000,6
139100,2
62300,1
287800,1
175300,1
3700,1
161200,1
182300,1
202600,1
396700,1
395800,1
377800,1
166400,1
272400,2
256400,1
374300,2
163100,2
350100,2
63000,1
457400,6
162200,2
190900,1
347700,1
49200,1
108400,1
37500,2
391300,2
332600,1
344300,4
381400,1
294100,1
1300,1
239800,1
102500,1
197400,1
172400,1
430700,2
246800,1
340000,1
49500,1
462900,1
405600,5
166700,1
345700,2
113200,2
37600,4
397400,1
99800,2
266800,1
67900,1
365300,3
36700,2
385900,1
2200,1
201700,1
55300,1
384700,1
428700,6
140700,2
385200,2
156700,1
334200,2
248500,2
247100,1
13400,1
211400,1
438200,1
236100,1
368500,4
211800,1
449000,1
294200,20
36500,1
462200,1
447900,2
346400,1
314800,3
178500,2
114100,1
401200,1
458300,2
296700,4
291900,1
226800,1
290400,1
257100,1
407700,42
418000,1
471900,1
362400,1
157100,3
231400,3
196500,1
182800,1
354300,1
210000,1
470000,1
487300,1
485000,4
231000,1
176600,1
271500,1
402000,1
447600,1
36900,1
346700,1
313200,1
54800,1
353100,1
157300,1
475600,1
421600,1
78400,1
27100,2
382300,1
88500,1
373300,2
297800,1
75000,1
305700,3
378700,1
203500,3
164600,2
314200,3
106200,1
119800,4
260000,2
481500,3
233500,1
388300,2
90500,1
36800,1
197200,1
318700,1
51100,3
31900,1
331500,1
19000,1
334600,2
94100,1
57600,4
422800,2
115100,1
387400,1
400900,1
190000,1
315600,1
207600,1
79300,1
184000,1
449700,1
280800,16
96300,2
488400,2
73800,1
235500,1
474300,1
402400,1
192400,1
25000,1
206300,2
135300,1
273100,6
403900,1
101300,1
480900,5
429900,1
473500,1
39200,1
215300,1
295300,2
366600,2
460500,1
97800,2
461000,2
323600,1
260500,1
332300,1
17400,1
355300,1
201900,1
33900,1
423900,1
21300,1
80400,15
423300,2
403300,1
274900,1
188300,1
263100,2
254500,1
56000,1
173600,1
81700,2
260400,1
220500,1
378500,1
399800,1
367600,1
226400,4
320000,1
370800,2
420700,6
293900,1
151800,1
393400,1
318900,3
62500,1
314000,1
115800,1
47900,1
374100,7
22600,1
68700,1
3400,1
26700,1
242700,1
21600,1
287600,2
21700,2
271000,2
54500,1
200000,1
185200,2
222400,2
424100,1
163200,2
60400,1
212500,1
257700,1
290500,1
412300,1
319600,1
306100,1
38100,1
135600,1
207300,1
453200,2
5100,1
355100,2
280900,1
100400,1
463900,1
202400,1
471700,1
47400,2
97900,1
99700,1
164700,1
78500,1
210300,1
464000,1
487700,1
147800,1
183200,1
347500,1
15600,1
210100,2
172500,2
40500,1
48100,1
171600,1
28400,1
373400,1
190200,8
27200,1
