_id,lpa
9200,57970
6400,57970
18500,129283
81100,463490
283300,466377
204100,57970
172600,145013
381600,288097
416700,129283
358300,402012
172900,439341
88400,106805
439200,145013
390700,390700
81800,402012
222600,439313
208700,466377
283600,452437
241200,466377
450100,177494
477800,177494
52400,106805
307400,129283
472200,466377
365700,466377
360900,177494
477100,129283
19800,402012
402600,439313
223400,129283
154200,439313
318200,101865
92100,466377
250100,6301
356800,439313
57800,145013
415800,451092
407900,466377
269000,101865
218700,106805
383200,439313
488900,177494
161300,101865
51700,442980
445500,177494
340600,402012
229700,224780
443500,177494
256200,306798
456800,106805
176500,439313
350400,106805
456500,224780
1500,164848
67200,177494
435400,439313
206600,224780
391800,294859
464500,210571
278400,224780
199000,177494
410600,410600
320300,224780
452600,145013
168200,145013
91500,145013
360800,6301
96600,106805
63100,129283
146400,208479
97700,439313
278500,306798
152700,6301
205700,145013
209900,466377
471200,288097
57300,210571
205400,164848
76200,405349
340500,288097
326500,466377
330200,106805
324900,439341
455700,106805
111200,405349
293600,145013
483000,129283
201400,129283
46800,164848
104600,164848
328500,439341
26900,402012
346100,145013
457300,208479
296800,296800
329100,177494
394600,224780
36200,177494
484200,210571
403600,294859
95900,164848
102900,177494
33600,33600
379200,379200
282500,402012
399500,466377
327700,145013
478700,236620
280700,177494
335800,294859
132800,402012
311100,74470
238300,238300
417900,164848
433800,177494
112300,57970
72200,439341
383300,466377
259600,259600
403400,403400
1800,145013
40100,439341
126600,402012
286000,177494
29600,259415
69900,129283
173800,236620
184300,405349
29000,466377
214000,57970
139100,398406
62300,145013
287800,466377
175300,177494
3700,177494
161200,224780
182300,224780
202600,294859
396700,224780
395800,129283
377800,439341
166400,236620
272400,57970
256400,106805
374300,452437
163100,405349
350100,468947
63000,439341
457400,439313
162200,6301
190900,466377
347700,402012
49200,439341
108400,177494
37500,37500
391300,57970
332600,466377
344300,57970
381400,236620
294100,106805
1300,236620
239800,177494
102500,236620
197400,463490
172400,145013
430700,430700
246800,74470
340000,224780
49500,224780
462900,129283
405600,149862
166700,466377
345700,6301
113200,6301
37600,57970
397400,177494
99800,57970
266800,466377
67900,177494
365300,210571
36700,57970
385900,129283
2200,466377
201700,224780
55300,236620
384700,164848
428700,208479
140700,208479
385200,439313
156700,145013
334200,357773
248500,439313
247100,466377
13400,466377
211400,439313
438200,236620
236100,145013
368500,265047
211800,439341
449000,145013
294200,57970
36500,466377
462200,224780
447900,164848
346400,177494
314800,162314
178500,178500
114100,224780
401200,402012
458300,439313
296700,57970
291900,402012
226800,466377
290400,439341
257100,439341
407700,210571
418000,236620
471900,145013
362400,236620
157100,145293
231400,57970
196500,145013
182800,129283
354300,236620
210000,236620
470000,145013
487300,487300
485000,485000
231000,245677
176600,402012
271500,224780
402000,466377
447600,145013
36900,402012
346700,224780
313200,145013
54800,145013
353100,439341
157300,439341
475600,466377
421600,224780
78400,402012
27100,439313
382300,439341
88500,145013
373300,439313
297800,439341
75000,402012
305700,439313
378700,177494
203500,468947
164600,306798
314200,6301
106200,236620
119800,58017
260000,149862
481500,57970
233500,224780
388300,318184
90500,129283
36800,439313
197200,402012
318700,224780
51100,210571
31900,224780
331500,380087
19000,236620
334600,57970
94100,224780
57600,164848
422800,335227
115100,129283
387400,439313
400900,145013
190000,208479
315600,224780
207600,466377
79300,145013
184000,145013
449700,177494
280800,208479
96300,6301
488400,57970
73800,101865
235500,129283
474300,129283
402400,106805
192400,398406
25000,439341
206300,439313
135300,145013
273100,439313
403900,439341
101300,236620
480900,306798
429900,145013
473500,145013
39200,177494
215300,177494
295300,57970
366600,6301
460500,402012
97800,97800
461000,319482
323600,402012
260500,236620
332300,402012
17400,236620
355300,106805
201900,236620
33900,106805
423900,106805
21300,224780
80400,405349
423300,439313
403300,466377
274900,106805
188300,439341
263100,439313
254500,145013
56000,101865
173600,236620
81700,439313
260400,224780
220500,177494
378500,177494
399800,439341
367600,129283
226400,208479
320000,177494
370800,6301
420700,439313
293900,402012
151800,129283
393400,236620
318900,405349
62500,106805
314000,106805
115800,129283
47900,164848
374100,318184
22600,439341
68700,145013
3400,236620
26700,145013
242700,466377
21600,177494
287600,291965
21700,439313
271000,145293
54500,145013
200000,177494
185200,405349
222400,210571
424100,129283
163200,288097
60400,224780
212500,106805
257700,466377
290500,129283
412300,145013
319600,236620
306100,236620
38100,224780
135600,106805
207300,439341
453200,57970
5100,129283
355100,57970
280900,402012
100400,177494
463900,224780
202400,439341
471700,466377
47400,57970
97900,129283
99700,129283
164700,439341
78500,177494
210300,177494
464000,145013
487700,177494
147800,129283
183200,101865
347500,177494
15600,224780
210100,439313
172500,210571
40500,106805
48100,236620
171600,402012
28400,236620
373400,466377
190200,405349
27200,129283
103100,224780
186000,236620
46200,367822
198700,439313
153700,402012
456300,236620
445000,224780
195700,6301
358400,236620
65800,2110
423600,259415
179200,439341
47100,236620
481900,129283
165300,224780
128000,145013
27900,242201
305400,439341
390800,177494
183400,129283
268400,236620
390100,466377
200300,439341
185600,466377
348600,405349
439800,357773
47700,288097
413200,106805
81900,208479
414200,357773
377200,145013
100600,6301
291400,57970
252200,439313
435200,405349
27500,27500
421800,57970
225100,106805
95600,439341
2300,402012
241400,405349
262400,106805
413400,439341
119000,466377
340900,177494
427400,439313
157000,177494
475800,101865
229500,145013
364800,439313
489600,294859
226600,106805
360400,236620
396400,439341
293500,149862
203000,177494
164100,402012
273200,57970
299000,177494
396100,402012
174400,294859
323200,439313
96900,236620
76800,402012
63700,57970
194600,439313
67000,198405
326100,402012
158600,177494
61300,61300
456900,208479
353800,129283
102200,236620
302000,57970
470100,439313
227300,224780
90300,177494
211200,145013
457700,57970
160700,402012
36300,106805
467000,106805
371100,402012
242600,57970
117800,224780
189200,177494
236600,439313
17000,57970
142900,439313
49700,294859
176900,439313
238600,439313
139600,164848
273400,451092
231200,236620
28100,129283
147600,164848
344200,402012
281300,208479
376700,164848
409200,145013
467200,439313
344400,236620
110400,362596
154700,466377
428000,288097
108100,288097
413600,145013
63500,63500
79900,291965
128700,106805
374500,2110
120500,208479
367000,129283
143100,164848
211300,291965
367200,106805
206800,177494
380700,439341
321800,177494
313700,466377
73500,177494
246900,402012
184600,224780
324600,106805
149100,466377
149300,210571
87500,106805
352400,145293
210900,129283
313400,466377
40300,106805
477500,164848
31000,402012
227700,106805
449400,402012
149200,177494
159100,402012
52900,236620
264500,164848
355800,106805
269600,129283
401000,468947
438700,439341
350800,439341
405000,236620
283900,106805
344800,402012
368400,177494
400000,145013
372900,57970
356100,402012
248700,57970
68900,439341
417800,402012
129600,129283
215700,245677
8400,466377
384500,6301
222100,106805
246100,145013
160500,298268
311900,236620
461700,129283
486700,236620
10200,177494
310200,177494
282800,6301
400300,405349
465400,402012
14400,177494
52300,439341
459600,294859
194800,224780
13300,145013
238900,405349
37700,145013
419200,224780
426100,145013
290600,164848
160900,177494
142000,177494
6500,236620
99200,439313
69600,398406
382800,2110
326700,177494
116400,236620
167000,106805
164300,451092
67700,106805
213400,6301
171200,439341
173700,177494
42200,42200
486400,224780
452500,466377
294600,402012
486100,439313
27400,439313
310900,106805
215400,466377
240900,240900
107900,224780
464800,439313
37200,129283
69000,224780
68800,402012
57500,106805
119900,224780
278000,402012
225700,145013
419900,466377
78100,145013
341600,439313
222000,208479
55200,466377
4300,439341
393800,466377
177100,402012
174600,402012
426600,402012
61100,177494
48600,439341
321200,439313
58100,58100
83300,106805
254700,129283
159300,106805
87000,439313
445200,177494
231800,129283
84100,6301
341800,177494
301000,236620
148200,227788
383400,439341
360500,439341
424000,466377
228900,294859
96800,106805
487800,177494
314500,106805
96400,224780
174900,149862
294300,463490
458800,402012
296900,6301
199200,439313
421000,236620
357500,439341
254800,106805
389700,106805
48300,106805
454100,57970
438000,224780
325600,236620
47500,439313
277100,439313
115300,439313
433300,236620
51600,51600
269300,439313
266300,439341
332100,129283
427500,177494
311600,106805
489000,466377
105200,145013
326400,357773
100000,106805
275600,466377
180800,402012
103400,224780
473300,57970
178700,294859
10900,106805
263200,145013
288100,288100
229300,452437
87900,145013
287900,288097
95000,177494
396600,439313
487400,487400
338800,129283
477900,177494
18700,57970
62400,224780
353200,466377
91000,439313
234600,335227
359100,236620
440400,439341
57200,106805
433700,129283
346200,176173
346300,236620
151400,145013
182900,439341
449600,439313
306000,106805
75400,177494
353500,439341
305500,236620
483900,242201
461100,224780
282700,282700
115400,466377
213700,402012
188700,236620
357200,439313
91800,57970
71900,466377
286500,286500
110600,236620
222700,259415
272200,106805
287000,466377
422300,57970
158500,402012
92500,224780
427300,129283
190600,145013
107400,145013
114500,439313
73700,177494
5000,208479
83800,208479
360300,439313
75200,129283
400800,259415
145500,298268
159500,129283
237600,439313
16200,439341
254400,164848
51800,224780
181100,177494
107100,145013
108500,236620
475500,145013
12900,177494
284900,439313
142700,236620
84500,177494
209700,439341
278900,6301
454500,145013
8100,224780
476400,208479
489400,468947
124600,402012
600,129283
353300,6301
160400,106805
93600,402012
15800,439341
450400,236620
357700,224780
317600,224780
72500,466377
434800,145013
61500,224780
205100,466377
215800,439341
148900,210571
295400,57970
403200,236620
22400,129283
150000,439313
50500,106805
329500,129283
159400,236620
469400,145013
253800,164848
260600,129283
271600,439341
84600,288097
299800,402012
179300,330107
5800,236620
328100,145013
379800,149862
106700,439313
125300,380087
342200,106805
247500,177494
232100,236620
252100,145013
168800,236620
249900,439341
397200,6301
121300,466377
114400,419031
216500,402012
220000,236620
52500,145013
136100,288097
345600,439313
96200,439341
329300,57970
234900,224780
378300,439341
97400,57970
310100,439313
71400,439341
220700,106805
34400,129283
430200,224780
177600,466377
13500,106805
147100,106805
232600,402012
134400,177494
372400,466377
424500,439313
105800,439341
300300,294859
70600,164848
47300,6301
265600,208479
264900,402012
306700,306798
376200,236620
60900,106805
327900,294859
416400,129283
352700,6301
431200,106805
53300,439313
62200,177494
21500,106805
34900,224780
140800,224780
368100,439313
109100,109100
328900,145013
283100,439313
391200,129283
393200,402012
151000,405349
316500,164848
350500,439313
94300,94300
366300,57970
167800,439313
302500,210571
267500,466377
17700,402012
160300,439313
189000,224780
98300,291965
371200,210571
261800,439341
217100,177494
138600,236620
227000,227000
114900,177494
448500,448500
22000,177494
56400,106805
135800,57970
308000,210571
163400,224780
486200,439341
369200,463490
419700,402012
131100,402012
348200,306798
469100,224780
370500,164848
489300,106805
362000,402012
220100,74470
21800,224780
11400,210571
126100,288097
259300,57970
336900,32898
291100,213611
38000,466377
23400,402012
339800,177494
442300,224780
107200,439313
434500,466377
198600,145013
13800,210571
315800,6301
263900,439341
71700,236620
46000,236620
219100,439313
101500,402012
28300,224780
478000,224780
6800,405349
70200,70200
235800,306798
265200,106805
319100,101865
167300,210571
156300,129283
244100,106805
321600,236620
468300,236620
172700,439313
273000,177494
481600,57970
437500,402012
482400,74470
272600,145013
103700,439341
86300,57970
268600,245677
315100,236620
267400,267400
345900,106805
413500,439313
237500,101865
87300,236620
481700,145013
398100,224780
341300,236620
401600,145013
478800,177494
328600,129283
341400,288097
400200,129283
152300,466377
37400,106805
162300,149862
311500,145013
362100,466377
387800,177494
272300,177494
433900,145013
340300,439313
39500,231898
45200,106805
93200,402012
128200,208479
94200,94200
192000,402012
457600,210571
169800,439313
46600,164848
202900,57970
103000,129283
431500,145013
375700,236620
60200,439313
146000,405349
484800,106805
347100,57970
25100,439313
253500,439341
116900,145293
134100,121941
228000,228000
175600,393025
375100,210571
72400,466377
473000,466377
110500,224780
431800,129283
113000,405349
76400,439341
327300,405349
230900,208479
372800,372800
112700,106805
314300,466377
441000,145013
466000,466377
405100,224780
429600,439341
282300,106805
178800,224780
303100,224780
227500,164848
103200,466377
42500,164848
13000,57970
101100,210571
234500,224780
322400,6301
319200,439341
86500,439313
429100,145013
308900,259415
77600,145013
469700,224780
181600,177494
251500,106805
316300,439313
2500,466377
120000,236620
22500,439341
187200,145013
16100,224780
198500,294859
311300,288097
381700,402012
312500,439313
470700,224780
417000,466377
309000,236620
52700,145013
405800,288097
269400,210571
38400,57970
350900,439341
314700,129283
380400,177494
213500,164848
116300,177494
100700,129283
381500,466377
381100,129283
190400,294859
279800,6301
463000,439341
52000,439341
293700,402012
367400,208479
110700,57970
256700,6301
214300,6301
33300,6301
396000,177494
187400,402012
33700,177494
39000,177494
128900,236620
347300,210571
73200,439313
53000,439341
417500,288097
454400,164848
217000,463490
158700,57970
60300,6301
481100,210571
432700,177494
65100,468947
45000,145013
258900,145013
211600,6301
131400,439313
320800,210571
122600,439341
120800,236620
214900,145013
98800,236620
288400,149862
395300,439313
126700,57970
372300,372300
281500,236620
242000,57970
451700,2110
201800,6301
141700,177494
101000,468947
391700,236620
426700,224780
17500,17500
298600,439341
66200,224780
323300,335227
136500,129283
217500,6301
52600,145013
366700,210571
309300,224780
437400,106805
417400,129283
307500,466377
198000,236620
191700,191700
342800,6301
33200,210571
467600,439313
8200,402012
393700,129283
71000,57970
300400,169726
15200,439341
20900,439341
254000,236620
348800,145013
235000,235000
103300,103300
441200,288097
188100,224780
158000,306798
105300,57970
478400,129283
305300,106805
49300,439341
202100,6301
148100,164848
198100,380087
146300,439341
159800,145013
188000,306798
110900,6301
378000,129283
463200,288097
25700,439341
82400,145013
131500,131500
193700,2916
177200,466377
127200,439341
259400,177494
455600,439313
77400,439341
21100,439341
425400,466377
70900,129283
438900,164848
176000,236620
345000,129283
48000,224780
236200,294859
456100,468947
176400,106805
172200,466377
197600,439341
201200,439313
172100,402012
124200,439341
92900,6301
185400,214484
171300,466377
381000,291965
343000,57970
472400,57970
224200,210571
16400,463490
800,106805
332900,236620
28600,318184
337300,210571
290200,106805
174800,466377
385600,402012
363900,363900
76000,224780
342500,402012
154400,106805
214500,439313
322300,439313
403800,224780
104500,439313
115200,208479
298900,439313
29400,463490
255800,402012
178100,439341
28800,2110
208900,439313
399600,330107
234700,224780
186200,106805
419500,164848
276700,402012
347400,101865
182600,164848
22100,380087
145000,466377
195400,145013
387100,405349
318400,6301
267300,236620
224000,224000
66900,402012
307200,294859
249200,439313
142600,198405
206500,129283
230500,57970
98400,402012
60000,177494
57700,439313
475400,321516
359000,145013
305900,177494
402100,6301
367100,57970
253200,106805
477000,402012
375400,439341
186400,177494
388600,145013
140900,402012
42000,402012
32500,402012
351800,129283
165800,129283
56600,6301
444700,439341
359300,278778
252300,106805
52200,224780
358100,466377
180700,224780
132100,439341
466800,210571
437600,402012
459200,259415
422700,439341
133100,402012
83500,129283
445800,466377
12700,106805
341500,236620
251300,439313
479000,439341
311000,177494
487100,466377
401100,145013
343400,6301
383900,101865
443600,145013
257000,439341
448100,224780
53700,145013
200600,208479
336100,145013
328700,405349
308600,294859
249300,439313
95300,106805
223600,57970
247600,106805
223300,439341
130000,106805
481800,236620
291600,224780
287500,57970
139400,306798
202300,129283
484000,402012
243600,106805
407000,106805
7700,106805
179700,106805
353600,466377
245400,402012
384000,402012
319300,164848
407100,57970
23000,177494
92700,439313
437900,402012
230800,106805
324700,306798
97300,97300
243200,106805
367300,129283
61900,439313
23500,149862
459500,210571
284600,164848
414800,414800
282100,177494
316900,177494
438300,164848
24400,224780
299500,145013
133600,208479
394900,394900
439300,106805
204700,57970
463600,466377
358900,402012
409700,439341
354800,439341
303400,177494
285800,210571
235400,466377
388900,439341
189100,236620
321500,208479
245600,439313
82100,57970
188600,145013
85200,106805
90800,224780
71500,466377
121500,210571
155100,155100
462400,439313
163300,57970
470300,380087
271400,210571
478600,208479
85300,439341
17200,106805
310500,466377
67500,439313
64600,402012
140500,236620
